"","taphonomyValues","startAge","days"
"173",0.545306954930234,100,10
"174",0.550382898717943,100,10
"175",0.52545917578727,100,10
"176",0.566311937271664,100,10
"177",0.523551718026868,100,10
"178",0.506962308697401,100,10
"179",0.503721928015419,100,10
"180",0.49926117342173,100,10
"181",0.52284568677478,100,10
"182",0.534363145489871,100,10
"183",0.562386325683415,100,10
"184",0.563296049918577,100,10
"185",0.552992615620839,100,10
"186",0.540645178974,100,10
"187",0.54161582114826,100,10
"188",0.554544234678073,100,10
"189",0.548813660607114,100,10
"190",0.549668503863095,100,10
"191",0.533257380632996,100,10
"192",0.542405519365781,100,10
"193",0.549559082234502,100,10
"194",0.521351531396754,100,10
"195",0.528416877448699,100,10
"196",0.548952471095127,100,10
"197",0.552517915763956,100,10
"198",0.555986225232759,100,10
"199",0.506369118887834,100,10
"200",0.533876023359157,100,10
"201",0.538817677606504,100,10
"202",0.548898702286763,100,10
"203",0.518555238901336,100,10
"204",0.55568935961207,100,10
"205",0.549076865328953,100,10
"206",0.543408823098304,100,10
"207",0.537463106966084,100,10
"208",0.528766929107792,100,10
"209",0.543582757231946,100,10
"210",0.554392617300032,100,10
"211",0.541178690300661,100,10
"212",0.525797959666203,100,10
"213",0.525312275192461,100,10
"214",0.539141037211085,100,10
"215",0.536396606371296,100,10
"216",0.53251018828643,100,10
"217",0.566006787084608,100,10
"218",0.570820964119058,100,10
"219",0.535444891574245,100,10
"220",0.517524281176817,100,10
"221",0.546039705805287,100,10
"222",0.527207165147051,100,10
"223",0.561108094880385,100,10
"224",0.541111309908011,100,10
"225",0.509304273713619,100,10
"226",0.554619685867415,100,10
"227",0.556675427547013,100,10
"228",0.549913285428001,100,10
"229",0.548328510988529,100,10
"230",0.53951910920138,100,10
"231",0.544821924319534,100,10
"232",0.567368648031051,100,10
"233",0.537376587270235,100,10
"234",0.549695357404063,100,10
"235",0.5469657986399,100,10
"236",0.546472169993027,100,10
"237",0.518512712445624,100,10
"238",0.537511635918139,100,10
"239",0.507384403513291,100,10
"240",0.537026595503777,100,10
"241",0.554346875776403,100,10
"242",0.547379840120121,100,10
"243",0.546872010788338,100,10
"244",0.52907046418513,100,10
"245",0.530317588837004,100,10
"246",0.550325227656705,100,10
"247",0.549657885557294,100,10
"248",0.534245555910908,100,10
"249",0.541206152259442,100,10
"250",0.529936141991886,100,10
"251",0.564522920461129,100,10
"252",0.535219375373832,100,10
"253",0.545509085311825,100,10
"254",0.562867124771658,100,10
"255",0.539159938242435,100,10
"256",0.5508391236047,100,10
"257",0.550886922186982,100,10
"258",0.531785438110334,100,10
"259",0.547552742511384,100,10
"260",0.54756346703263,100,10
"261",0.538250660329329,100,10
"262",0.543351932262659,100,10
"263",0.524616568230377,100,10
"264",0.543061634048503,100,10
"265",0.547215800725506,100,10
"266",0.599468086114275,100,10
"267",0.554387849923924,100,10
"268",0.534021893897156,100,10
"269",0.550642174885106,100,10
"270",0.520279475919567,100,10
"271",0.537305181241052,100,10
"272",0.560995360287899,100,10
"273",0.574453781253412,100,10
"274",0.547009548557249,100,10
"275",0.532144213687941,100,10
"276",0.558972054538984,100,10
"277",0.548395110616187,100,10
"278",0.538861286439153,100,10
"279",0.518047639214676,100,10
"280",0.565813026139134,100,10
"281",0.570253035017284,100,10
"282",0.558094099756392,100,10
"283",0.561451246593997,100,10
"284",0.53950369755207,100,10
"285",0.53960519079431,100,10
"286",0.531559231908493,100,10
"287",0.544283933337152,100,10
"288",0.565043358318942,100,10
"289",0.541417202228786,100,10
"290",0.561769775529353,100,10
"291",0.515029322839769,100,10
"292",0.570473442993115,100,10
